Validator,PT_VERSION,2.4.0
Validator,ROCM_VERSION,6.1.0.0-82-5fabb4c
Validator,HIPBLASLT_VERSION,0.7.0-1549b021
Validator,GCN_ARCH_NAME,gfx942:sramecc+:xnack-
Validator,ROCBLAS_VERSION,4.1.0-cefa4a9b-dirty
GemmTunableOp_BFloat16_NT,nt_8192_7168_8192,Gemm_Rocblas_621281918,1.56638
GemmTunableOp_BFloat16_NN,nn_8192_8192_1280,Gemm_Rocblas_621282558,0.29901
GemmTunableOp_BFloat16_TN,tn_8192_16384_1024,Gemm_Rocblas_621282064,0.503032
GemmTunableOp_BFloat16_TN,tn_1280_16384_8192,Gemm_Hipblaslt_TN_320,0.636569
GemmTunableOp_BFloat16_TN,tn_8192_8192_1024,Gemm_Rocblas_621282064,0.258634
GemmTunableOp_BFloat16_NT,nt_8192_4096_16384,Gemm_Rocblas_621281938,1.93707
GemmTunableOp_BFloat16_NN,nn_8192_8192_7168,Gemm_Rocblas_621282561,1.54081
GemmTunableOp_BFloat16_NN,nn_8192_16384_1280,Gemm_Rocblas_621282575,0.594907
GemmTunableOp_BFloat16_TN,tn_7168_8192_8192,Gemm_Hipblaslt_TN_231,1.5708
GemmTunableOp_BFloat16_TN,tn_8192_16384_3584,Gemm_Rocblas_621282064,1.56296
GemmTunableOp_BFloat16_TN,tn_4096_8192_8192,Gemm_Rocblas_621282059,0.864021
GemmTunableOp_BFloat16_NT,nt_1024_8192_8192,Gemm_Rocblas_621281930,0.254411
GemmTunableOp_BFloat16_NT,nt_1024_8192_16384,Gemm_Rocblas_621281930,0.528804
GemmTunableOp_BFloat16_NT,nt_8192_7168_16384,Gemm_Rocblas_621281918,3.08313
GemmTunableOp_BFloat16_TN,tn_1280_8192_8192,Gemm_Rocblas_621282417,0.296562
GemmTunableOp_BFloat16_NT,nt_8192_4096_8192,Gemm_Rocblas_621281912,0.937062
GemmTunableOp_BFloat16_NT,nt_8192_1280_16384,Gemm_Hipblaslt_NT_34862,0.756249
GemmTunableOp_BFloat16_NN,nn_1024_16384_8192,Gemm_Rocblas_621282553,0.464401
GemmTunableOp_BFloat16_NN,nn_3584_16384_8192,Gemm_Rocblas_621282585,1.57073
GemmTunableOp_BFloat16_NT,nt_3584_8192_8192,Gemm_Rocblas_621281930,0.832297
GemmTunableOp_BFloat16_NN,nn_3584_8192_8192,Gemm_Rocblas_621282553,0.818515
GemmTunableOp_BFloat16_NN,nn_8192_16384_7168,Gemm_Rocblas_621282586,3.06348
GemmTunableOp_BFloat16_TN,tn_4096_16384_8192,Gemm_Rocblas_621282355,1.76734
GemmTunableOp_BFloat16_TN,tn_8192_8192_3584,Gemm_Rocblas_621282064,0.772407
GemmTunableOp_BFloat16_NN,nn_1024_8192_8192,Gemm_Rocblas_621282569,0.253131
GemmTunableOp_BFloat16_NN,nn_8192_16384_4096,Gemm_Rocblas_621282587,1.76824
GemmTunableOp_BFloat16_NT,nt_3584_8192_16384,Gemm_Rocblas_621281953,1.71146
GemmTunableOp_BFloat16_NN,nn_8192_8192_4096,Gemm_Rocblas_621282565,0.876721
GemmTunableOp_BFloat16_NT,nt_8192_1280_8192,Gemm_Hipblaslt_NT_35335,0.363572
GemmTunableOp_BFloat16_TN,tn_7168_16384_8192,Gemm_Rocblas_621282064,3.03156
